;Number of cuts;Length of X;K subsets;Neighbors;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
103;5;120;3;100;0.7098696666666666;1.7621902222222732e-06;0.842536589399205;[0.708931, 0.708931, 0.711747];0.7590723333333332;5.776448222222133e-06;0.8712442578778417;[0.757266, 0.762469, 0.757482]
104;5;120;3;200;0.741311;1.2136960666666849e-05;0.8609871445261731;[0.73744, 0.740607, 0.745886];0.7666143333333334;3.889701555555545e-06;0.8755629295669032;[0.768866, 0.766914, 0.764063]
105;5;120;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.5747255;1.0819338750000089e-05;0.7580993870603313;[0.578396, 0.577284, 0.570222, 0.573]
106;5;120;4;3;0.2115265;9.975680249999991e-06;0.4599092566145522;[0.21531, 0.206599, 0.21267, 0.211527];0.6489685000000001;8.920904250000098e-06;0.8055802747682879;[0.650867, 0.645802, 0.646343, 0.652862]
107;5;120;4;5;0.34036500000000003;3.7418039999999716e-06;0.5834048835894331;[0.337527, 0.339639, 0.342279, 0.342015];0.68135725;3.3865144187500185e-05;0.8254231550276576;[0.684171, 0.680123, 0.672669, 0.688466]
108;5;120;4;20;0.582094;2.5775244499999914e-05;0.7629339583184773;[0.574747, 0.587681, 0.580114, 0.585834];0.7267079999999999;9.91105700000004e-06;0.8524658872605988;[0.725583, 0.724321, 0.724823, 0.732105]
109;5;120;4;50;0.6620325;9.587908250000162e-06;0.813647904250819;[0.664232, 0.659217, 0.665904, 0.658777];0.7438825;9.139225250000067e-06;0.8624809335717225;[0.745042, 0.748148, 0.740097, 0.742243]
110;5;120;4;100;0.7088869999999999;4.21854400000005e-06;0.8419517690794408;[0.708931, 0.708931, 0.711747, 0.705939];0.75971725;5.58008868749995e-06;0.8716144043734664;[0.757266, 0.762469, 0.757482, 0.761652]
111;5;120;4;200;0.73893525;2.6035284687500147e-05;0.8595982868266505;[0.73744, 0.740607, 0.745886, 0.731808];0.7678152500000001;7.24387868750003e-06;0.8762465441422936;[0.768866, 0.766914, 0.764063, 0.771418]
112;5;120;5;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0];0.5761418;1.6679093759999985e-05;0.7590290645991364;[0.578396, 0.577284, 0.570222, 0.573, 0.581807]
113;5;120;5;3;0.20996040000000002;1.7791221040000017e-05;0.4581949462608247;[0.21531, 0.206599, 0.21267, 0.211527, 0.203696];0.6492986000000001;7.572587440000049e-06;0.8057859687364629;[0.650867, 0.645802, 0.646343, 0.652862, 0.650619]
114;5;120;5;5;0.3393752;6.912259360000015e-06;0.5825532488456656;[0.337527, 0.339639, 0.342279, 0.342015, 0.335416];0.6797146;3.7885311440000234e-05;0.8244250813073071;[0.684171, 0.680123, 0.672669, 0.688466, 0.673144]
115;5;120;5;20;0.5811878;2.3904989359999864e-05;0.76234106213075;[0.574747, 0.587681, 0.580114, 0.585834, 0.577563];0.7254257999999999;1.4504992960000089e-05;0.8517108047964638;[0.725583, 0.724321, 0.724823, 0.732105, 0.720297]
116;5;120;5;50;0.6610646;1.1417648240000123e-05;0.8130517710156961;[0.664232, 0.659217, 0.665904, 0.658777, 0.657193];0.7430019999999999;1.0412501200000019e-05;0.8619695977810353;[0.745042, 0.748148, 0.740097, 0.742243, 0.73948]
117;5;120;5;100;0.708051;6.170419200000063e-06;0.8414539973051408;[0.708931, 0.708931, 0.711747, 0.705939, 0.704707];0.7592094;5.495717439999931e-06;0.871323076867909;[0.757266, 0.762469, 0.757482, 0.761652, 0.757178]
118;5;120;5;200;0.7384778000000001;2.1665269760000152e-05;0.8593347047165266;[0.73744, 0.740607, 0.745886, 0.731808, 0.736648];0.7686086000000001;8.312719839999942e-06;0.8766985156142105;[0.768866, 0.766914, 0.764063, 0.771418, 0.771782]
119;5;120;6;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.5767048333333333;1.5484277472222254e-05;0.7594006512084784;[0.578396, 0.577284, 0.570222, 0.573, 0.581807, 0.57952]
120;5;120;6;3;0.20923883333333335;1.7429309805555554e-05;0.4574072627577396;[0.21531, 0.206599, 0.21267, 0.211527, 0.203696, 0.205631];0.6503656666666667;1.2003645888888904e-05;0.806445077498014;[0.650867, 0.645802, 0.646343, 0.652862, 0.650619, 0.655701]
121;5;120;6;5;0.33940450000000005;5.764508583333343e-06;0.5825793812789951;[0.337527, 0.339639, 0.342279, 0.342015, 0.335416, 0.339551];0.6812156666666667;4.283709855555585e-05;0.8253319511373052;[0.684171, 0.680123, 0.672669, 0.688466, 0.673144, 0.688721]
122;5;120;6;20;0.5789851666666667;4.417879247222203e-05;0.7608817174004081;[0.574747, 0.587681, 0.580114, 0.585834, 0.577563, 0.567972];0.7265636666666667;1.856119688888907e-05;0.8523761525698486;[0.725583, 0.724321, 0.724823, 0.732105, 0.720297, 0.732253]
123;5;120;6;50;0.6607273333333333;1.0083450888889012e-05;0.8128451573838922;[0.664232, 0.659217, 0.665904, 0.658777, 0.657193, 0.659041];0.7439931666666667;1.3589141138888853e-05;0.8625425076629718;[0.745042, 0.748148, 0.740097, 0.742243, 0.73948, 0.748949]
124;5;120;6;100;0.7070098333333332;1.0562156138888944e-05;0.8408324869896466;[0.708931, 0.708931, 0.711747, 0.705939, 0.704707, 0.701804];0.7598285000000001;6.496188583333334e-06;0.8716776949144774;[0.757266, 0.762469, 0.757482, 0.761652, 0.757178, 0.762924]
125;5;120;6;200;0.736853;3.1254266666666914e-05;0.8583832161297967;[0.73744, 0.740607, 0.745886, 0.731808, 0.736648, 0.728729];0.768939;7.473087333333289e-06;0.8768874083442336;[0.768866, 0.766914, 0.764063, 0.771418, 0.771782, 0.770591]
126;6;60;1;1;0.0;0.0;0.0;[0.0];0.609455;0.0;0.7806759891273716;[0.609455]
127;6;60;1;3;0.225693;0.0;0.475071573554975;[0.225693];0.672321;0.0;0.8199518278533197;[0.672321]
128;6;60;1;5;0.351254;0.0;0.5926668541432024;[0.351254];0.70575;0.0;0.8400892809695883;[0.70575]
129;6;60;1;20;0.592433;0.0;0.7696966935098526;[0.592433];0.739429;0.0;0.8599005756481385;[0.739429]
130;6;60;1;50;0.66256;0.0;0.813977886677519;[0.66256];0.75053;0.0;0.8663313453869714;[0.75053]
131;6;60;1;100;0.710955;0.0;0.8431814751285751;[0.710955];0.761257;0.0;0.8725004297993211;[0.761257]
132;6;60;1;200;0.738935;0.0;0.8596132851462919;[0.738935];0.772982;0.0;0.8791939490237635;[0.772982]
133;6;60;2;1;0.0;0.0;0.0;[0.0, 0.0];0.607382;4.297328999999965e-06;0.7793444056840338;[0.609455, 0.605309]
134;6;60;2;3;0.22261350000000002;9.483320249999995e-06;0.47180930117977754;[0.225693, 0.219534];0.671469;7.259039999999385e-07;0.819431677503378;[0.672321, 0.670617]
135;6;60;2;5;0.3536735;5.853980249999957e-06;0.594699626719027;[0.351254, 0.356093];0.7014549999999999;1.8447024999999942e-05;0.8375180911329617;[0.70575, 0.69716]
